######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 28000, Step size=0.0000024ms, Time elapsed=0.000066s;
Time step 28100, Step size=0.0000024ms, Time elapsed=0.000067s;
Time step 28200, Step size=0.0000024ms, Time elapsed=0.000067s;
Time step 28300, Step size=0.0000024ms, Time elapsed=0.000067s;
Time step 28400, Step size=0.0000024ms, Time elapsed=0.000067s;
Time step 28500, Step size=0.0000024ms, Time elapsed=0.000068s;
Time step 28600, Step size=0.0000024ms, Time elapsed=0.000068s;
Time step 28700, Step size=0.0000024ms, Time elapsed=0.000068s;
Time step 28800, Step size=0.0000024ms, Time elapsed=0.000068s;
Time step 28900, Step size=0.0000024ms, Time elapsed=0.000069s;
Time step 29000, Step size=0.0000024ms, Time elapsed=0.000069s;
Time step 29100, Step size=0.0000024ms, Time elapsed=0.000069s;
Time step 29200, Step size=0.0000024ms, Time elapsed=0.000069s;
Time step 29300, Step size=0.0000024ms, Time elapsed=0.000070s;
Time step 29400, Step size=0.0000024ms, Time elapsed=0.000070s;
Time step 29500, Step size=0.0000024ms, Time elapsed=0.000070s;
Time step 29600, Step size=0.0000024ms, Time elapsed=0.000070s;
Time step 29700, Step size=0.0000024ms, Time elapsed=0.000070s;
Time step 29800, Step size=0.0000024ms, Time elapsed=0.000071s;
Time step 29900, Step size=0.0000024ms, Time elapsed=0.000071s;
Time step 30000, Step size=0.0000024ms, Time elapsed=0.000071s;
Time step 30100, Step size=0.0000024ms, Time elapsed=0.000071s;
Time step 30200, Step size=0.0000024ms, Time elapsed=0.000072s;
Time step 30300, Step size=0.0000024ms, Time elapsed=0.000072s;
Time step 30400, Step size=0.0000024ms, Time elapsed=0.000072s;
Time step 30500, Step size=0.0000024ms, Time elapsed=0.000072s;
Time step 30600, Step size=0.0000024ms, Time elapsed=0.000073s;
Time step 30700, Step size=0.0000024ms, Time elapsed=0.000073s;
Time step 30800, Step size=0.0000024ms, Time elapsed=0.000073s;
Time step 30900, Step size=0.0000024ms, Time elapsed=0.000073s;
Time step 31000, Step size=0.0000024ms, Time elapsed=0.000074s;
Time step 31100, Step size=0.0000024ms, Time elapsed=0.000074s;
Time step 31200, Step size=0.0000024ms, Time elapsed=0.000074s;
Time step 31300, Step size=0.0000024ms, Time elapsed=0.000074s;
Time step 31400, Step size=0.0000024ms, Time elapsed=0.000075s;
Time step 31500, Step size=0.0000024ms, Time elapsed=0.000075s;
Time step 31600, Step size=0.0000024ms, Time elapsed=0.000075s;
Time step 31700, Step size=0.0000024ms, Time elapsed=0.000075s;
Time step 31800, Step size=0.0000024ms, Time elapsed=0.000075s;
Time step 31900, Step size=0.0000024ms, Time elapsed=0.000076s;
Time step 32000, Step size=0.0000024ms, Time elapsed=0.000076s;
Time step 32100, Step size=0.0000024ms, Time elapsed=0.000076s;
Time step 32200, Step size=0.0000024ms, Time elapsed=0.000076s;
Time step 32300, Step size=0.0000024ms, Time elapsed=0.000077s;
Time step 32400, Step size=0.0000024ms, Time elapsed=0.000077s;
Time step 32500, Step size=0.0000024ms, Time elapsed=0.000077s;
Time step 32600, Step size=0.0000024ms, Time elapsed=0.000077s;
Time step 32700, Step size=0.0000024ms, Time elapsed=0.000078s;
Time step 32800, Step size=0.0000024ms, Time elapsed=0.000078s;
Time step 32900, Step size=0.0000024ms, Time elapsed=0.000078s;
Time step 33000, Step size=0.0000024ms, Time elapsed=0.000078s;
Time step 33100, Step size=0.0000024ms, Time elapsed=0.000079s;
Time step 33200, Step size=0.0000024ms, Time elapsed=0.000079s;
Time step 33300, Step size=0.0000024ms, Time elapsed=0.000079s;
Time step 33400, Step size=0.0000024ms, Time elapsed=0.000079s;
Time step 33500, Step size=0.0000024ms, Time elapsed=0.000080s;
Time step 33600, Step size=0.0000024ms, Time elapsed=0.000080s;
Time step 33700, Step size=0.0000024ms, Time elapsed=0.000080s;
Saving data to numpy array files...
Time step 33800, Step size=0.0000024ms, Time elapsed=0.000080s;
Time step 33900, Step size=0.0000024ms, Time elapsed=0.000080s;
Time step 34000, Step size=0.0000024ms, Time elapsed=0.000081s;
Time step 34100, Step size=0.0000024ms, Time elapsed=0.000081s;
Time step 34200, Step size=0.0000024ms, Time elapsed=0.000081s;
Time step 34300, Step size=0.0000024ms, Time elapsed=0.000081s;
Time step 34400, Step size=0.0000024ms, Time elapsed=0.000082s;
Time step 34500, Step size=0.0000024ms, Time elapsed=0.000082s;
Time step 34600, Step size=0.0000024ms, Time elapsed=0.000082s;
Time step 34700, Step size=0.0000024ms, Time elapsed=0.000082s;
Time step 34800, Step size=0.0000024ms, Time elapsed=0.000083s;
Time step 34900, Step size=0.0000024ms, Time elapsed=0.000083s;
Time step 35000, Step size=0.0000024ms, Time elapsed=0.000083s;
Time step 35100, Step size=0.0000024ms, Time elapsed=0.000083s;
Time step 35200, Step size=0.0000024ms, Time elapsed=0.000084s;
Time step 35300, Step size=0.0000024ms, Time elapsed=0.000084s;
Time step 35400, Step size=0.0000024ms, Time elapsed=0.000084s;
Time step 35500, Step size=0.0000024ms, Time elapsed=0.000084s;
Time step 35600, Step size=0.0000024ms, Time elapsed=0.000084s;
Time step 35700, Step size=0.0000024ms, Time elapsed=0.000085s;
Time step 35800, Step size=0.0000024ms, Time elapsed=0.000085s;
Time step 35900, Step size=0.0000024ms, Time elapsed=0.000085s;
Time step 36000, Step size=0.0000024ms, Time elapsed=0.000085s;
Time step 36100, Step size=0.0000024ms, Time elapsed=0.000086s;
Time step 36200, Step size=0.0000024ms, Time elapsed=0.000086s;
Time step 36300, Step size=0.0000024ms, Time elapsed=0.000086s;
Time step 36400, Step size=0.0000024ms, Time elapsed=0.000086s;
Time step 36500, Step size=0.0000024ms, Time elapsed=0.000087s;
Time step 36600, Step size=0.0000024ms, Time elapsed=0.000087s;
Time step 36700, Step size=0.0000024ms, Time elapsed=0.000087s;
Time step 36800, Step size=0.0000024ms, Time elapsed=0.000087s;
Time step 36900, Step size=0.0000024ms, Time elapsed=0.000088s;
